"word","file","word_id"
"hm","stimuli/228.wav","228"
"然後","stimuli/372.wav","372"
"是","stimuli/266.wav","266"
"我","stimuli/467.wav","467"
"我們","stimuli/361.wav","361"
"很","stimuli/249.wav","249"
"啦","stimuli/140.wav","140"
"都","stimuli/312.wav","312"
"去","stimuli/136.wav","136"
"想說","stimuli/239.wav","239"
"是","stimuli/202.wav","202"
"沒有","stimuli/191.wav","191"
"我","stimuli/101.wav","101"
"的","stimuli/125.wav","125"
"一","stimuli/370.wav","370"
"的","stimuli/1.wav","1"
"這邊","stimuli/43.wav","43"
"啊","stimuli/284.wav","284"
"外面","stimuli/170.wav","170"
"的","stimuli/436.wav","436"
"先","stimuli/275.wav","275"
"有","stimuli/160.wav","160"
"很","stimuli/99.wav","99"
"我","stimuli/113.wav","113"
"差不多","stimuli/175.wav","175"
"很多","stimuli/385.wav","385"
"你","stimuli/329.wav","329"
"uN","stimuli/268.wav","268"
"覺得","stimuli/134.wav","134"
"包括","stimuli/176.wav","176"
"女兒","stimuli/417.wav","417"
"進去","stimuli/129.wav","129"
"跟","stimuli/290.wav","290"
"人","stimuli/492.wav","492"
"也","stimuli/182.wav","182"
"了","stimuli/281.wav","281"
"一些","stimuli/433.wav","433"
"X","stimuli/306.wav","306"
"以前","stimuli/210.wav","210"
"幹嘛","stimuli/294.wav","294"
"變成","stimuli/348.wav","348"
"就","stimuli/59.wav","59"
"是","stimuli/472.wav","472"
"就","stimuli/459.wav","459"
"我","stimuli/301.wav","301"
"說","stimuli/149.wav","149"
"啦","stimuli/188.wav","188"
"的","stimuli/396.wav","396"
"我","stimuli/54.wav","54"
"這樣","stimuli/413.wav","413"
"個","stimuli/5.wav","5"
"實習","stimuli/103.wav","103"
"誰","stimuli/121.wav","121"
"從","stimuli/233.wav","233"
"社會","stimuli/313.wav","313"
"而","stimuli/315.wav","315"
"睡覺","stimuli/279.wav","279"
"不","stimuli/305.wav","305"
"必須","stimuli/80.wav","80"
"根本","stimuli/139.wav","139"
"美國","stimuli/32.wav","32"
"就","stimuli/126.wav","126"
"那","stimuli/20.wav","20"
